Column27,x_coord,y_coord,heights1
STOW1115,210594.389,464238.772,5.3718204498291
STOW1116,203624.922,487928.591,2.77371907234192
STOW1117,202878.764,480755.488,3.28296089172363
STOW0634,171017.125,440288.494,6.86020088195801
STOW0635,171026.557,440107.539,7.11195993423462
STOW0636,171020.344,440204.634,6.94516468048096
STOW0637,171240.271,440167.087,7.22333955764771
STOW0638,171557.682,440094.557,7.57526063919067
STOW0639,171534.337,440016.492,7.49759531021118
STOW0640,171506.171,440057.6,7.46544599533081
STOW0641,171588.838,440041.687,7.82281160354614
STOW0626,203023.422,483394.06,3.91481757164001
STOW0627,203591.059,487926.955,2.681880235672
STOW0628,171411.578,440111.732,6.57098960876465
STOW0629,203706.613,488007.144,1.86262834072113
STOW0630,202693.168,482200.151,3.14258027076721
STOW0631,170640.77,440347.629,7.05714464187622
STOW0632,170773.7,440295.076,7.10193872451782
STOW0633,170851.944,440276.195,6.36154794692993
STOW0618,202999.947,480036.087,4.29681968688965
STOW0619,203046.201,483246.937,7.34743595123291
STOW0620,203133.59,484671.623,7.26172780990601
STOW0621,202372.872,487730.422,3.50988507270813
STOW0622,203703.565,487933.929,2.16609954833984
STOW0623,203615.205,487919.738,1.95113754272461
STOW0624,203611.586,487914.428,3.21922516822815
STOW0625,202817.004,481421.81,7.43012857437134
STOW0610,202461.463,481095.475,4.22209978103638
STOW0611,205027.567,493446.527,6.10261678695679
STOW0612,205397.755,491456.779,5.56161308288574
STOW0613,209525.776,456309.981,8.87762260437012
STOW0614,205310.2,475174.581,7.49911546707153
STOW0615,209388.496,460765.955,8.75100040435791
STOW0616,203521.717,478486.492,8.34354209899902
STOW0617,203446.927,478657.583,6.01260280609131
STOW0520,203912.454,487939.579,5.0348048210144
STOW0536,207356.094,454600.213,11.6266851425171
STOW0548,201121.097,499086.062,2.15014791488647
STOW0554,170613.536,440565.302,5.73307275772095
STOW0559,200877.063,499289.568,2.66245198249817
STOW0560,202333.533,494877.285,5.95914840698242
STOW0567,203956.917,477487.738,5.58961391448975
STOW0577,202884.871,480743.267,3.02340054512024
STOW0308,167506.627,435266.211,5.37010669708252
STOW0309,167510.739,435265.755,5.48780107498169
STOW0324,203188.682,483572.391,6.47500514984131
STOW0332,202658.185,481049.478,4.07918643951416
STOW0351,202968.368,482894.397,7.45071792602539
STOW0445,202889.926,480735.323,3.22675585746765
STOW0474,203871.96,477731.736,8.41213226318359
STOW0497,208362.587,456023.286,11.3025455474854
STOW0214,194639.432,440119.755,10.2876014709473
STOW0215,194588.487,440208.213,10.5368728637695
STOW0216,194617.501,440168.984,10.2447566986084
STOW0232,202786.298,481972.563,3.03926396369934
STOW0242,202777.633,481993.143,2.77300000190735
STOW0276,213083.711,457026.228,7.12560987472534
STOW0277,212140.564,457881.684,9.34994029998779
STOW0307,167458.254,435254.09,5.37078905105591
STOW0014,156835.625,443563.173,4.2863507270813
STOW0015,156797.717,443521.104,4.22862195968628
STOW0016,205674.797,493633.159,0.435000002384186
STOW0018,204265.849,480276.264,3.51627779006958
STOW0173,203622.141,487923.534,1.72660553455353
STOW0203,202893.537,480721.603,2.81163358688354
STOW0212,194762.087,439903.942,10.0791444778442
STOW0213,194737.412,439898.961,10.0340871810913
STOW0003,205098.478,494431.55,0.611199975013733
STOW0004,205038.897,494447.59,0.633700013160706
STOW0005,204987.466,494462.504,0.684499979019165
STOW0008,132802.628,445613.156,0.646175026893616
STOW0010,132783.133,445322.189,1.15197694301605
STOW0011,157281.979,443866.869,5.46590614318848
STOW0012,157256.977,443859.292,4.62714385986328
STOW0013,156882.403,443583.44,4.47075748443604
STOW0604,105927,426298.028,
STOW0605,197477.992,433311.937,10.9220724105835
STOW0606,197518.992,433324.937,10.8871669769287
STOW0607,115453.968,437209.943,
STOW0608,167498.982,435340.99,5.48570013046265
STOW0609,167494.982,435358.99,5.13219976425171
STOW0000,157358.468,443951.572,4.06346416473389
STOW0002,154997.919,443152.294,3.44661021232605
STOW0596,135326.977,445387.013,2.39510011672974
STOW0597,135309.388,425251.552,1.34763407707214
STOW0598,126618.94,426558.017,
STOW0599,159489.956,425380.981,
STOW0600,159546.956,425335.982,4.10459995269775
STOW0601,157684.955,427256.981,
STOW0602,132442.987,414192.947,
STOW0603,152684.98,425199.992,
STOW0588,177763.994,433952.976,7.18860006332397
STOW0589,177381.996,434141.977,8.47019958496094
STOW0590,167459.982,435255.989,5.44939994812012
STOW0591,167388.981,435212.99,5.58199977874756
STOW0592,160069.945,434354.974,4.95433139801025
STOW0593,166373.983,440829.993,11.6229000091553
STOW0594,135366.977,445383.013,
STOW0595,135344.977,445368.013,
STOW0569,177832.994,434002.975,6.67719984054565
STOW0581,129506.928,423909.018,
STOW0582,159544.956,425364.981,4.12370014190674
STOW0583,164351.952,433043.977,4.77360010147095
STOW0584,129100.932,426334.021,-0.21969698369503
STOW0585,193679.973,431349.925,13.2892589569092
STOW0586,177823.994,434008.975,6.8028998374939
STOW0587,177810.994,433996.976,6.66099977493286
STOW0199,197351.416,443689.438,9.81569480895996
